sock_id,pattern,dominant_color,fabric,foot,size_band,temperature_c,spin_cycle_rpm,static_cling_score,pair_probability,split
sock-00069,argyle,lavender,polyblend,left,medium,57.1,1287,0.01,0.730,train
sock-00070,plain,navy,bamboo,right,large,59.0,1310,0.30,0.940,train
sock-00071,dots,yellow,wool,ambiguous,xl,60.9,1333,0.59,0.590,train
sock-00072,stripes,black,cotton,left,small,62.8,1356,0.88,0.690,train
sock-00073,tiny-stars,green,modal,right,medium,64.7,1379,0.17,0.540,train
sock-00074,ribbed,burgundy,linen,ambiguous,large,66.6,1402,0.46,0.480,train
sock-00075,heather,charcoal,polyblend,left,xl,68.5,1425,0.75,0.790,train
sock-00076,chevron,teal,bamboo,right,small,70.4,1448,0.04,0.790,train
sock-00077,argyle,white,wool,ambiguous,medium,72.3,1471,0.33,0.480,train
sock-00078,plain,coral,cotton,left,large,25.2,1494,0.62,0.680,train
sock-00079,dots,lavender,modal,right,xl,27.1,617,0.91,0.550,train
sock-00080,stripes,navy,linen,ambiguous,small,29.0,640,0.20,0.580,train
sock-00081,tiny-stars,yellow,polyblend,left,medium,30.9,663,0.49,0.800,train
sock-00082,ribbed,black,bamboo,right,large,32.8,686,0.78,0.890,train
sock-00083,heather,green,wool,ambiguous,xl,34.7,709,0.07,0.610,train
sock-00084,chevron,burgundy,cotton,left,small,36.6,732,0.36,0.620,train
sock-00085,argyle,charcoal,modal,right,medium,38.5,755,0.65,0.510,train
sock-00086,plain,teal,linen,ambiguous,large,40.4,778,0.94,0.570,train
sock-00087,dots,white,polyblend,left,xl,42.3,801,0.23,0.740,train
sock-00088,stripes,coral,bamboo,right,small,44.2,824,0.52,0.810,train
sock-00089,tiny-stars,lavender,wool,ambiguous,medium,46.1,847,0.81,0.620,train
sock-00090,ribbed,navy,cotton,left,large,48.0,870,0.10,0.720,train
sock-00091,heather,yellow,modal,right,xl,49.9,893,0.39,0.570,train
sock-00092,chevron,black,linen,ambiguous,small,51.8,916,0.68,0.600,train
sock-00093,argyle,green,polyblend,left,medium,53.7,939,0.97,0.770,train
sock-00094,plain,burgundy,bamboo,right,large,55.6,962,0.26,0.890,train
sock-00095,dots,charcoal,wool,ambiguous,xl,57.5,985,0.55,0.630,train
sock-00096,stripes,teal,cotton,left,small,59.4,1008,0.84,0.640,train
sock-00097,tiny-stars,white,modal,right,medium,61.3,1031,0.13,0.510,train
sock-00098,ribbed,coral,linen,ambiguous,large,63.2,1054,0.42,0.520,train
sock-00099,heather,lavender,polyblend,left,xl,65.1,1077,0.71,0.830,train
sock-00100,chevron,navy,bamboo,right,small,67.0,1100,0.00,0.920,train
sock-00101,argyle,yellow,wool,ambiguous,medium,68.9,1123,0.29,0.590,train
sock-00102,plain,black,cotton,left,large,70.8,1146,0.58,0.810,train
sock-00103,dots,green,modal,right,xl,72.7,1169,0.87,0.590,train
sock-00104,stripes,burgundy,linen,ambiguous,small,25.6,1192,0.16,0.530,train
sock-00105,tiny-stars,charcoal,polyblend,left,medium,27.5,1215,0.45,0.840,train
sock-00106,ribbed,teal,bamboo,right,large,29.4,1238,0.74,0.840,train
sock-00107,heather,white,wool,ambiguous,xl,31.3,1261,0.03,0.580,train
sock-00108,chevron,coral,cotton,left,small,33.2,1284,0.32,0.660,train
sock-00109,argyle,lavender,modal,right,medium,35.1,1307,0.61,0.550,train
sock-00110,plain,navy,linen,ambiguous,large,37.0,1330,0.90,0.700,train
sock-00111,dots,yellow,polyblend,left,xl,38.9,1353,0.19,0.480,train
sock-00112,stripes,black,bamboo,right,small,40.8,1376,0.48,0.940,train
sock-00113,tiny-stars,green,wool,ambiguous,medium,42.7,1399,0.77,0.660,train
sock-00114,ribbed,burgundy,cotton,left,large,44.6,1422,0.06,0.670,train
sock-00115,heather,charcoal,modal,right,xl,46.5,1445,0.35,0.610,train
sock-00116,chevron,teal,linen,ambiguous,small,48.4,1468,0.64,0.550,train
sock-00117,argyle,white,polyblend,left,medium,50.3,1491,0.93,0.370,train
sock-00118,plain,coral,bamboo,right,large,52.2,614,0.22,0.930,train
sock-00119,dots,lavender,wool,ambiguous,xl,54.1,637,0.51,0.670,train
sock-00120,stripes,navy,cotton,left,small,56.0,660,0.80,0.770,train
sock-00121,tiny-stars,yellow,modal,right,medium,57.9,683,0.09,0.620,train
sock-00122,ribbed,black,linen,ambiguous,large,59.8,706,0.38,0.650,train
sock-00123,heather,green,polyblend,left,xl,61.7,729,0.67,0.500,train
sock-00124,chevron,burgundy,bamboo,right,small,63.6,752,0.96,0.870,train
sock-00125,argyle,charcoal,wool,ambiguous,medium,65.5,775,0.25,0.630,train
sock-00126,plain,teal,cotton,left,large,67.4,798,0.54,0.760,train
sock-00127,dots,white,modal,right,xl,69.3,821,0.83,0.560,train
sock-00128,stripes,coral,linen,ambiguous,small,71.2,844,0.12,0.570,train
sock-00129,tiny-stars,lavender,polyblend,left,medium,24.1,867,0.41,0.510,train
sock-00130,ribbed,navy,bamboo,right,large,26.0,890,0.70,0.970,train
sock-00131,heather,yellow,wool,ambiguous,xl,27.9,913,0.99,0.690,train
sock-00132,chevron,black,cotton,left,small,29.8,936,0.28,0.790,train
sock-00133,argyle,green,modal,right,medium,31.7,959,0.57,0.590,train
sock-00134,plain,burgundy,linen,ambiguous,large,33.6,982,0.86,0.650,train
sock-00135,dots,charcoal,polyblend,left,xl,35.5,1005,0.15,0.520,train
sock-00136,stripes,teal,bamboo,right,small,37.4,1028,0.44,0.890,train
sock-00137,tiny-stars,white,wool,ambiguous,medium,39.3,1051,0.73,0.630,train
sock-00138,ribbed,coral,cotton,left,large,41.2,1074,0.02,0.710,train
sock-00139,heather,lavender,modal,right,xl,43.1,1097,0.31,0.650,train
sock-00140,chevron,navy,linen,ambiguous,small,45.0,1120,0.60,0.680,train
sock-00141,argyle,yellow,polyblend,left,medium,46.9,1143,0.89,0.480,train
sock-00142,plain,black,bamboo,right,large,48.8,1166,0.18,0.990,train
sock-00143,dots,green,wool,ambiguous,xl,50.7,1189,0.47,0.710,train
sock-00144,stripes,burgundy,cotton,left,small,52.6,1212,0.76,0.720,train
sock-00145,tiny-stars,charcoal,modal,right,medium,54.5,1235,0.05,0.660,train
sock-00146,ribbed,teal,linen,ambiguous,large,56.4,1258,0.34,0.600,train
sock-00147,heather,white,polyblend,left,xl,58.3,1281,0.63,0.470,train
sock-00148,chevron,coral,bamboo,right,small,60.2,1304,0.92,0.540,train
sock-00149,argyle,lavender,wool,ambiguous,medium,62.1,1327,0.21,0.670,train
sock-00150,plain,navy,cotton,left,large,64.0,1350,0.50,0.890,train
sock-00151,dots,yellow,modal,right,xl,65.9,1373,0.79,0.670,train
sock-00152,stripes,black,linen,ambiguous,small,67.8,1396,0.08,0.700,train
sock-00153,tiny-stars,green,polyblend,left,medium,69.7,1419,0.37,0.550,train
sock-00154,ribbed,burgundy,bamboo,right,large,71.6,1442,0.66,0.550,train
sock-00155,heather,charcoal,wool,ambiguous,xl,24.5,1465,0.95,0.730,train
sock-00156,chevron,teal,cotton,left,small,26.4,1488,0.24,0.740,train
sock-00157,argyle,white,modal,right,medium,28.3,611,0.53,0.560,train
sock-00158,plain,coral,linen,ambiguous,large,30.2,634,0.82,0.690,train
sock-00159,dots,lavender,polyblend,left,xl,32.1,657,0.11,0.560,train
sock-00160,stripes,navy,bamboo,right,small,34.0,680,0.40,0.650,train
sock-00161,tiny-stars,yellow,wool,ambiguous,medium,35.9,703,0.69,0.740,train
sock-00162,ribbed,black,cotton,left,large,37.8,726,0.98,0.840,train
sock-00163,heather,green,modal,right,xl,39.7,749,0.27,0.690,train
sock-00164,chevron,burgundy,linen,ambiguous,small,41.6,772,0.56,0.630,train
sock-00165,argyle,charcoal,polyblend,left,medium,43.5,795,0.85,0.520,train
sock-00166,plain,teal,bamboo,right,large,45.4,818,0.14,0.640,train
sock-00167,dots,white,wool,ambiguous,xl,47.3,841,0.43,0.680,train
sock-00168,stripes,coral,cotton,left,small,49.2,864,0.72,0.760,train
sock-00169,tiny-stars,lavender,modal,right,medium,51.1,887,0.01,0.700,train
sock-00170,ribbed,navy,linen,ambiguous,large,53.0,910,0.30,0.730,train
sock-00171,heather,yellow,polyblend,left,xl,54.9,933,0.59,0.580,train
sock-00172,chevron,black,bamboo,right,small,56.8,956,0.88,0.670,train
sock-00173,argyle,green,wool,ambiguous,medium,58.7,979,0.17,0.710,train
sock-00174,plain,burgundy,cotton,left,large,60.6,1002,0.46,0.840,train
sock-00175,dots,charcoal,modal,right,xl,62.5,1025,0.75,0.710,train
sock-00176,stripes,teal,linen,ambiguous,small,64.4,1048,0.04,0.650,train
sock-00177,tiny-stars,white,polyblend,left,medium,66.3,1071,0.33,0.520,train
sock-00178,ribbed,coral,bamboo,right,large,68.2,1094,0.62,0.590,train
sock-00179,heather,lavender,wool,ambiguous,xl,70.1,1117,0.91,0.770,train
sock-00180,chevron,navy,cotton,left,small,72.0,1140,0.20,0.870,train
sock-00181,argyle,yellow,modal,right,medium,24.9,1163,0.49,0.670,train
sock-00182,plain,black,linen,ambiguous,large,26.8,1186,0.78,0.820,train
sock-00183,dots,green,polyblend,left,xl,28.7,1209,0.07,0.600,train
sock-00184,stripes,burgundy,bamboo,right,small,30.6,1232,0.36,0.600,train
sock-00185,tiny-stars,charcoal,wool,ambiguous,medium,32.5,1255,0.65,0.410,train
sock-00186,ribbed,teal,cotton,left,large,34.4,1278,0.94,0.790,train
sock-00187,heather,white,modal,right,xl,36.3,1301,0.23,0.660,train
sock-00188,chevron,coral,linen,ambiguous,small,38.2,1324,0.52,0.670,train
sock-00189,argyle,lavender,polyblend,left,medium,40.1,1347,0.81,0.560,train
sock-00190,plain,navy,bamboo,right,large,42.0,1370,0.10,0.770,train
sock-00191,dots,yellow,wool,ambiguous,xl,43.9,1393,0.39,0.420,train
sock-00192,stripes,black,cotton,left,small,45.8,1416,0.68,0.890,train
sock-00193,tiny-stars,green,modal,right,medium,47.7,1439,0.97,0.740,train
sock-00194,ribbed,burgundy,linen,ambiguous,large,49.6,1462,0.26,0.680,train
sock-00195,heather,charcoal,polyblend,left,xl,51.5,1485,0.55,0.620,train
sock-00196,chevron,teal,bamboo,right,small,53.4,608,0.84,0.620,train
sock-00197,argyle,white,wool,ambiguous,medium,55.3,631,0.13,0.310,train
sock-00198,plain,coral,cotton,left,large,57.2,654,0.42,0.880,train
sock-00199,dots,lavender,modal,right,xl,59.1,677,0.71,0.750,train
sock-00200,stripes,navy,linen,ambiguous,small,61.0,700,0.00,0.780,train
sock-00201,tiny-stars,yellow,polyblend,left,medium,62.9,723,0.29,0.630,train
sock-00202,ribbed,black,bamboo,right,large,64.8,746,0.58,0.720,train
sock-00203,heather,green,wool,ambiguous,xl,66.7,769,0.87,0.440,train
sock-00204,chevron,burgundy,cotton,left,small,68.6,792,0.16,0.820,train
sock-00205,argyle,charcoal,modal,right,medium,70.5,815,0.45,0.710,train
sock-00206,plain,teal,linen,ambiguous,large,72.4,838,0.74,0.770,train
sock-00207,dots,white,polyblend,left,xl,25.3,861,0.03,0.570,train
sock-00208,stripes,coral,bamboo,right,small,27.2,884,0.32,0.640,train
sock-00209,tiny-stars,lavender,wool,ambiguous,medium,29.1,907,0.61,0.450,train
sock-00210,ribbed,navy,cotton,left,large,31.0,930,0.90,0.920,train
sock-00211,heather,yellow,modal,right,xl,32.9,953,0.19,0.770,train
sock-00212,chevron,black,linen,ambiguous,small,34.8,976,0.48,0.800,train
sock-00213,argyle,green,polyblend,left,medium,36.7,999,0.77,0.600,train
sock-00214,plain,burgundy,bamboo,right,large,38.6,1022,0.06,0.720,train
sock-00215,dots,charcoal,wool,ambiguous,xl,40.5,1045,0.35,0.460,train
sock-00216,stripes,teal,cotton,left,small,42.4,1068,0.64,0.840,train
sock-00217,tiny-stars,white,modal,right,medium,44.3,1091,0.93,0.710,train
sock-00218,ribbed,coral,linen,ambiguous,large,46.2,1114,0.22,0.720,train
sock-00219,heather,lavender,polyblend,left,xl,48.1,1137,0.51,0.660,train
sock-00220,chevron,navy,bamboo,right,small,50.0,1160,0.80,0.750,train
sock-00221,argyle,yellow,wool,ambiguous,medium,51.9,1183,0.09,0.420,train
sock-00222,plain,black,cotton,left,large,53.8,1206,0.38,0.640,train
sock-00223,dots,green,modal,right,xl,55.7,1229,0.67,0.790,train
sock-00224,stripes,burgundy,linen,ambiguous,small,57.6,1252,0.96,0.730,train
sock-00225,tiny-stars,charcoal,polyblend,left,medium,59.5,1275,0.25,0.670,train
sock-00226,ribbed,teal,bamboo,right,large,61.4,1298,0.54,0.670,train
sock-00227,heather,white,wool,ambiguous,xl,63.3,1321,0.83,0.410,train
sock-00228,chevron,coral,cotton,left,small,65.2,1344,0.12,0.490,train
sock-00229,argyle,lavender,modal,right,medium,67.1,1367,0.41,0.750,train
sock-00230,plain,navy,linen,ambiguous,large,69.0,1390,0.70,0.900,train
sock-00231,dots,yellow,polyblend,left,xl,70.9,1413,0.99,0.680,train
sock-00232,stripes,black,bamboo,right,small,72.8,1436,0.28,0.770,train
sock-00233,tiny-stars,green,wool,ambiguous,medium,25.7,1459,0.57,0.490,train
sock-00234,ribbed,burgundy,cotton,left,large,27.6,1482,0.86,0.500,train
sock-00235,heather,charcoal,modal,right,xl,29.5,605,0.15,0.810,train
sock-00236,chevron,teal,linen,ambiguous,small,31.4,628,0.44,0.750,train
sock-00237,argyle,white,polyblend,left,medium,33.3,651,0.73,0.570,train
sock-00238,plain,coral,bamboo,right,large,35.2,674,0.02,0.760,train
sock-00239,dots,lavender,wool,ambiguous,xl,37.1,697,0.31,0.500,train
sock-00240,stripes,navy,cotton,left,small,39.0,720,0.60,0.600,train
sock-00241,tiny-stars,yellow,modal,right,medium,40.9,743,0.89,0.820,train
sock-00242,ribbed,black,linen,ambiguous,large,42.8,766,0.18,0.850,train
sock-00243,heather,green,polyblend,left,xl,44.7,789,0.47,0.700,train
sock-00244,chevron,burgundy,bamboo,right,small,46.6,812,0.76,0.700,train
sock-00245,argyle,charcoal,wool,ambiguous,medium,48.5,835,0.05,0.460,train
sock-00246,plain,teal,cotton,left,large,50.4,858,0.34,0.590,train
sock-00247,dots,white,modal,right,xl,52.3,881,0.63,0.760,train
sock-00248,stripes,coral,linen,ambiguous,small,54.2,904,0.92,0.770,train
sock-00249,tiny-stars,lavender,polyblend,left,medium,56.1,927,0.21,0.710,train
sock-00250,ribbed,navy,bamboo,right,large,58.0,950,0.50,0.800,train
sock-00251,heather,yellow,wool,ambiguous,xl,59.9,973,0.79,0.520,train
sock-00252,chevron,black,cotton,left,small,61.8,996,0.08,0.620,train
sock-00253,argyle,green,modal,right,medium,63.7,1019,0.37,0.790,train
sock-00254,plain,burgundy,linen,ambiguous,large,65.6,1042,0.66,0.850,train
sock-00255,dots,charcoal,polyblend,left,xl,67.5,1065,0.95,0.720,train
sock-00256,stripes,teal,bamboo,right,small,69.4,1088,0.24,0.720,train
sock-00257,tiny-stars,white,wool,ambiguous,medium,71.3,1111,0.53,0.460,train
sock-00258,ribbed,coral,cotton,left,large,24.2,1134,0.82,0.540,train
sock-00259,heather,lavender,modal,right,xl,26.1,1157,0.11,0.480,train
sock-00260,chevron,navy,linen,ambiguous,small,28.0,1180,0.40,0.880,train
sock-00261,argyle,yellow,polyblend,left,medium,29.9,1203,0.69,0.680,train
sock-00262,plain,black,bamboo,right,large,31.8,1226,0.98,0.890,train
sock-00263,dots,green,wool,ambiguous,xl,33.7,1249,0.27,0.540,train
sock-00264,stripes,burgundy,cotton,left,small,35.6,1272,0.56,0.550,train
sock-00265,tiny-stars,charcoal,modal,right,medium,37.5,1295,0.85,0.490,train
sock-00266,ribbed,teal,linen,ambiguous,large,39.4,1318,0.14,0.800,train
sock-00267,heather,white,polyblend,left,xl,41.3,1341,0.43,0.670,train
sock-00268,chevron,coral,bamboo,right,small,43.2,1364,0.72,0.740,train
sock-00269,argyle,lavender,wool,ambiguous,medium,45.1,1387,0.01,0.500,train
sock-00270,plain,navy,cotton,left,large,47.0,1410,0.30,0.720,train
sock-00271,dots,yellow,modal,right,xl,48.9,1433,0.59,0.500,train
sock-00272,stripes,black,linen,ambiguous,small,50.8,1456,0.88,0.900,train
sock-00273,tiny-stars,green,polyblend,left,medium,52.7,1479,0.17,0.750,train
sock-00274,ribbed,burgundy,bamboo,right,large,54.6,602,0.46,0.750,train
sock-00275,heather,charcoal,wool,ambiguous,xl,56.5,625,0.75,0.560,train
sock-00276,chevron,teal,cotton,left,small,58.4,648,0.04,0.570,train
sock-00277,argyle,white,modal,right,medium,60.3,671,0.33,0.390,train
sock-00278,plain,coral,linen,ambiguous,large,62.2,694,0.62,0.890,train
sock-00279,dots,lavender,polyblend,left,xl,64.1,717,0.91,0.760,train
sock-00280,stripes,navy,bamboo,right,small,66.0,740,0.20,0.850,train
sock-00281,tiny-stars,yellow,wool,ambiguous,medium,67.9,763,0.49,0.570,train
sock-00282,ribbed,black,cotton,left,large,69.8,786,0.78,0.670,train
sock-00283,heather,green,modal,right,xl,71.7,809,0.07,0.520,train
sock-00284,chevron,burgundy,linen,ambiguous,small,24.6,832,0.36,0.830,train
sock-00285,argyle,charcoal,polyblend,left,medium,26.5,855,0.65,0.720,train
sock-00286,plain,teal,bamboo,right,large,28.4,878,0.94,0.840,train
sock-00287,dots,white,wool,ambiguous,xl,30.3,901,0.23,0.510,train
sock-00288,stripes,coral,cotton,left,small,32.2,924,0.52,0.590,train
sock-00289,tiny-stars,lavender,modal,right,medium,34.1,947,0.81,0.530,train
sock-00290,ribbed,navy,linen,ambiguous,large,36.0,970,0.10,0.930,train
sock-00291,heather,yellow,polyblend,left,xl,37.9,993,0.39,0.780,train
sock-00292,chevron,black,bamboo,right,small,39.8,1016,0.68,0.870,train
sock-00293,argyle,green,wool,ambiguous,medium,41.7,1039,0.97,0.540,train
sock-00294,plain,burgundy,cotton,left,large,43.6,1062,0.26,0.670,train
sock-00295,dots,charcoal,modal,right,xl,45.5,1085,0.55,0.540,train
sock-00296,stripes,teal,linen,ambiguous,small,47.4,1108,0.84,0.480,train
sock-00297,tiny-stars,white,polyblend,left,medium,49.3,1131,0.13,0.720,train
sock-00298,ribbed,coral,bamboo,right,large,51.2,1154,0.42,0.790,train
sock-00299,heather,lavender,wool,ambiguous,xl,53.1,1177,0.71,0.600,train
sock-00300,chevron,navy,cotton,left,small,55.0,1200,0.00,0.700,train
sock-00301,argyle,yellow,modal,right,medium,56.9,1223,0.29,0.500,train
sock-00302,plain,black,linen,ambiguous,large,58.8,1246,0.58,0.650,train
sock-00303,dots,green,polyblend,left,xl,60.7,1269,0.87,0.800,train
sock-00304,stripes,burgundy,bamboo,right,small,62.6,1292,0.16,0.800,train
sock-00305,tiny-stars,charcoal,wool,ambiguous,medium,64.5,1315,0.45,0.610,train
sock-00306,ribbed,teal,cotton,left,large,66.4,1338,0.74,0.620,train
sock-00307,heather,white,modal,right,xl,68.3,1361,0.03,0.490,train
sock-00308,chevron,coral,linen,ambiguous,small,70.2,1384,0.32,0.500,train
sock-00309,argyle,lavender,polyblend,left,medium,72.1,1407,0.61,0.760,train
sock-00310,plain,navy,bamboo,right,large,25.0,1430,0.90,0.970,train
sock-00311,dots,yellow,wool,ambiguous,xl,26.9,1453,0.19,0.620,train
sock-00312,stripes,black,cotton,left,small,28.8,1476,0.48,0.720,train
sock-00313,tiny-stars,green,modal,right,medium,30.7,1499,0.77,0.570,train
sock-00314,ribbed,burgundy,linen,ambiguous,large,32.6,622,0.06,0.510,train
sock-00315,heather,charcoal,polyblend,left,xl,34.5,645,0.35,0.820,train
sock-00316,chevron,teal,bamboo,right,small,36.4,668,0.64,0.820,train
sock-00317,argyle,white,wool,ambiguous,medium,38.3,691,0.93,0.510,train
sock-00318,plain,coral,cotton,left,large,40.2,714,0.22,0.710,train
sock-00319,dots,lavender,modal,right,xl,42.1,737,0.51,0.580,train
sock-00320,stripes,navy,linen,ambiguous,small,44.0,760,0.80,0.610,train
sock-00321,tiny-stars,yellow,polyblend,left,medium,45.9,783,0.09,0.830,train
sock-00322,ribbed,black,bamboo,right,large,47.8,806,0.38,0.920,train
sock-00323,heather,green,wool,ambiguous,xl,49.7,829,0.67,0.640,train
sock-00324,chevron,burgundy,cotton,left,small,51.6,852,0.96,0.650,train
sock-00325,argyle,charcoal,modal,right,medium,53.5,875,0.25,0.540,train
sock-00326,plain,teal,linen,ambiguous,large,55.4,898,0.54,0.600,train
sock-00327,dots,white,polyblend,left,xl,57.3,921,0.83,0.770,train
sock-00328,stripes,coral,bamboo,right,small,59.2,944,0.12,0.840,train
sock-00329,tiny-stars,lavender,wool,ambiguous,medium,61.1,967,0.41,0.650,train
sock-00330,ribbed,navy,cotton,left,large,63.0,990,0.70,0.750,train
sock-00331,heather,yellow,modal,right,xl,64.9,1013,0.99,0.600,train
sock-00332,chevron,black,linen,ambiguous,small,66.8,1036,0.28,0.630,train
sock-00333,argyle,green,polyblend,left,medium,68.7,1059,0.57,0.430,train
sock-00334,plain,burgundy,bamboo,right,large,70.6,1082,0.86,0.920,train
sock-00335,dots,charcoal,wool,ambiguous,xl,72.5,1105,0.15,0.660,train
sock-00336,stripes,teal,cotton,left,small,25.4,1128,0.44,0.670,train
sock-00337,tiny-stars,white,modal,right,medium,27.3,1151,0.73,0.540,train
sock-00338,ribbed,coral,linen,ambiguous,large,29.2,1174,0.02,0.550,train
sock-00339,heather,lavender,polyblend,left,xl,31.1,1197,0.31,0.490,train
sock-00340,chevron,navy,bamboo,right,small,33.0,1220,0.60,0.950,train
sock-00341,argyle,yellow,wool,ambiguous,medium,34.9,1243,0.89,0.620,train
sock-00342,plain,black,cotton,left,large,36.8,1266,0.18,0.840,train
sock-00343,dots,green,modal,right,xl,38.7,1289,0.47,0.620,train
sock-00344,stripes,burgundy,linen,ambiguous,small,40.6,1312,0.76,0.560,train
sock-00345,tiny-stars,charcoal,polyblend,left,medium,42.5,1335,0.05,0.500,train
sock-00346,ribbed,teal,bamboo,right,large,44.4,1358,0.34,0.870,train
sock-00347,heather,white,wool,ambiguous,xl,46.3,1381,0.63,0.610,train
sock-00348,chevron,coral,cotton,left,small,48.2,1404,0.92,0.690,train
sock-00349,argyle,lavender,modal,right,medium,50.1,1427,0.21,0.580,train
sock-00350,plain,navy,linen,ambiguous,large,52.0,1450,0.50,0.730,train
